dice,iou,sensitivity,specificity,accuracy,name,categoria
0.6319605732736018,0.4619461697721896,0.764445790866744,0.9580798987359394,0.9464299895660078,01_dr,retinopatía
0.6834801115915025,0.5191566930430056,0.6852569770754589,0.972495064032104,0.9497564721061102,01_g,glaucoma
0.6867174305034958,0.5229015037995778,0.5624316454966899,0.9896313998843568,0.9381058098004965,01_h,sano
0.6393976373107457,0.4699371799171104,0.7175113828590218,0.9570376809653716,0.9389772183003134,02_dr,retinopatía
0.688737837503121,0.5252480069978075,0.6935276679030186,0.9690331589704386,0.9447508795166824,02_g,glaucoma
0.7423471268437937,0.5902639294901771,0.6663784508585038,0.9829271364458129,0.9459165398895989,02_h,sano
0.39877745956549676,0.24904561951600157,0.781823331276457,0.8353228171233605,0.8314988945650655,03_dr,retinopatía
0.6689385806931664,0.5025602658076622,0.6381403556283931,0.9802063857439254,0.956824587466751,03_g,glaucoma
0.6468323507287912,0.478013460547304,0.5463312063286435,0.9795796787867984,0.9254162861729316,03_h,sano
0.3929643003925621,0.24452742430585347,0.7647426808808345,0.8476584158254568,0.8421177256104619,04_dr,retinopatía
0.6901148500132681,0.526851419012009,0.6803012788023484,0.9759723734204417,0.9534395751676632,04_g,glaucoma
0.6865332176817325,0.5226879179007496,0.6067561350189404,0.9797926113794101,0.9381561900948395,04_h,sano
0.6720995676933453,0.5061370200217963,0.6739512344658756,0.9736510871415279,0.95158739964011,05_dr,retinopatía
0.6885712186999395,0.5250542221723526,0.6308377060241946,0.9831036263467703,0.9558467988350452,05_g,glaucoma
0.7126294506400741,0.5535542591015382,0.5984953592471113,0.9902841661503163,0.9484089219696437,05_h,sano
0.5584792446285133,0.3874236583465567,0.5055612743669105,0.9700781731549284,0.9285698479849672,06_dr,retinopatía
0.687915656528661,0.5242922529725983,0.6556906827745878,0.9779268530702291,0.951843501796293,06_g,glaucoma
0.7433099293190444,0.5914822967577608,0.649522214322647,0.9866103535943818,0.9461363704759872,06_h,sano
0.6824046120220478,0.5179166671714751,0.6717866668342066,0.9698933198145377,0.9424636757303185,07_dr,retinopatía
0.6788217825200457,0.5138003136434129,0.6273307665881449,0.9815518951588167,0.9542568785947096,07_g,glaucoma
0.7149625007384317,0.5563748148589255,0.6142085257738046,0.9877462723710535,0.9483556896891767,07_h,sano
0.6198296733650336,0.44909650744068547,0.7408808035125674,0.9364910142919761,0.9190728911723902,08_dr,retinopatía
0.6546863503877749,0.48664216748003886,0.7280748340590153,0.9566580222504575,0.9382929527333645,08_g,glaucoma
0.7497332828096577,0.5996586748261948,0.6525978333233142,0.9880915617464716,0.948215498288206,08_h,sano
0.6180873941480884,0.44726952452036883,0.6247988511966776,0.965401269197761,0.9380919890804038,09_dr,retinopatía
0.6719286971036948,0.5059432393715073,0.6328482535650903,0.9786742197400087,0.9515755941781143,09_g,glaucoma
0.6640450812007632,0.4970565038209599,0.5802491248577178,0.9830304192709388,0.9459520597239989,09_h,sano
0.664609238467102,0.4976889593756028,0.6102347223426053,0.9739148621042465,0.9363025567785032,10_dr,retinopatía
0.6925599381897591,0.5297068358383192,0.6498910598228534,0.9809111820270502,0.9552226716665647,10_g,glaucoma
0.677644624143554,0.5124527313277384,0.6322072244477003,0.9734443051756652,0.9386240266710544,10_h,sano
0.6794002006303631,0.5144633529057492,0.6187294879676284,0.9774192785881695,0.9414616361209539,11_dr,retinopatía
0.6959929161560604,0.5337339994384226,0.6351575800687973,0.9810947704310298,0.9497925676724236,11_g,glaucoma
0.7376403655273929,0.584334563133878,0.6391694490271579,0.9883262648226744,0.9496971452729172,11_h,sano
0.6224328791726839,0.4518348832243278,0.7146819529947716,0.9490631558730609,0.9301928921147361,12_dr,retinopatía
0.6923735968523115,0.5294888472622191,0.6565838324724644,0.9739721957727068,0.9429232363416581,12_g,glaucoma
0.7807331704887068,0.6403300340760032,0.6885137229042031,0.9893318274223191,0.9519794697014492,12_h,sano
0.6659566194378905,0.4992016220321744,0.6566022896873519,0.9722400397321577,0.9466994059744906,13_dr,retinopatía
0.6565322572512555,0.4886847941045357,0.6429589729777102,0.9723530991574245,0.9458291296868534,13_g,glaucoma
0.7027391700713942,0.5417100045409289,0.6518101193635645,0.9766634164026678,0.9432054908350924,13_h,sano
0.5553150469619357,0.3843848762971814,0.7548399693364709,0.9042475144629112,0.8907449530541598,14_dr,retinopatía
0.5881074471298117,0.4165383873824307,0.6988836779635471,0.9381707615538537,0.9181685906950086,14_g,glaucoma
0.6593940596022733,0.4918627015830217,0.6425117254842296,0.9647047108694017,0.931412473740307,14_h,sano
0.5902915839551162,0.4187331062484923,0.7324897449415111,0.9371644552843649,0.9213286136683063,15_dr,retinopatía
0.6454749426261033,0.47653230120196244,0.6304904816350004,0.9693385772937501,0.9399680926681144,15_g,glaucoma
0.7011872125795491,0.5398678080250229,0.638791725471444,0.9812646564200923,0.9494962543473476,15_h,sano
