dice,iou,sensitivity,specificity,accuracy,name,categoria
0.6297431622335276,0.4595803829448595,0.7846204891839514,0.9547243882399838,0.9444901635196553,01_dr,retinopatia
0.7008105405639462,0.5394213565034238,0.79643893277585,0.9590387305621819,0.94616686357447,01_g,glaucoma
0.7695768108251015,0.6254570115353296,0.695665365132884,0.9846041749076098,0.9497545699655174,01_h,sano
0.6420009321437176,0.4727550609862869,0.705382452560097,0.9598720663360516,0.9406833584380772,02_dr,retinopatia
0.7235527228627935,0.5668488905280638,0.7639881679907792,0.9663848116384414,0.9485461404652734,02_g,glaucoma
0.7985132857458889,0.6646043408325241,0.7354686042684717,0.9858827795262393,0.9566045723044149,02_h,sano
0.6511016459881377,0.482691408178864,0.7494613758431872,0.957456456926427,0.9425898265284002,03_dr,retinopatia
0.6591557432113937,0.49159754376701953,0.8594708734986375,0.9450957538696017,0.939242896514367,03_g,glaucoma
0.7405262681788318,0.5879648375897836,0.6536650905075586,0.9840344143284186,0.9427326567199974,03_h,sano
0.6163852057596229,0.44548902507075777,0.7291931381566689,0.9543971926813518,0.9393483493934396,04_dr,retinopatia
0.7163954277545974,0.5581122436338869,0.8124733068725787,0.9624022709591922,0.9509763346350028,04_g,glaucoma
0.7701636371581861,0.6262326114496644,0.7194344183152147,0.9813013837034519,0.9520731339682189,04_h,sano
0.6971309634434699,0.5350737057087335,0.7990229600457474,0.9607979398733978,0.9488881822655871,05_dr,retinopatia
0.7248135754658442,0.5683981271449224,0.8108286958194499,0.9642303627099139,0.9523607990274182,05_g,glaucoma
0.7858351755232449,0.6472228149599877,0.759529549352141,0.9792342052297429,0.955751691307961,05_h,sano
0.6205999800819993,0.4499057351897756,0.625330989699564,0.9617389727188703,0.9316782106984411,06_dr,retinopatia
0.7149121781511081,0.5563138689794319,0.7923278319377376,0.9626349705032242,0.9488494885209102,06_g,glaucoma
0.7747817940776769,0.6323622929635088,0.7105703302926109,0.9831240008984148,0.9503986351030249,06_h,sano
0.7096042060643313,0.5499120575246603,0.7351221114537958,0.9658696988997363,0.9446379547113533,07_dr,retinopatia
0.7097832528297052,0.550127142890063,0.804920491598483,0.9613313717460124,0.9492789072821968,07_g,glaucoma
0.7973224808353863,0.6629561691559768,0.7679341795001231,0.981333274257648,0.9588297528254619,07_h,sano
0.6787197156678307,0.5136833749175969,0.6979761109945796,0.9649308170587851,0.9411598190160309,08_dr,retinopatia
0.7103245367471578,0.5507777398164688,0.7690942248800979,0.9653715874831387,0.9496020663851257,08_g,glaucoma
0.7947161167022077,0.6593601123477855,0.7325903360039613,0.985018697077126,0.9550156046433911,08_h,sano
0.6587960760616091,0.49119754595340054,0.7395132018558477,0.9559336293379375,0.9385811803685173,09_dr,retinopatia
0.7008912811842591,0.5395170327416376,0.7987152706012876,0.9591535018445061,0.9465816998992727,09_g,glaucoma
0.7540031257387741,0.6051404632823305,0.7716523061645248,0.9721014906009721,0.9536489779482924,09_h,sano
0.6950040423633419,0.5325717970973574,0.6746819398937504,0.9692199794504929,0.9387584461891114,10_dr,retinopatia
0.7147208476974161,0.55608219149668,0.7996768139143725,0.9631450471359566,0.9504592461195149,10_g,glaucoma
0.76262449326855,0.6163242193819047,0.7452263699998093,0.9762332064664724,0.9526609664124988,10_h,sano
0.7210654874525918,0.5638017274366602,0.7144811700625046,0.9702232987274582,0.9445858697657122,11_dr,retinopatia
0.7260635808457869,0.5699370627364843,0.7626044072862078,0.9663682785540826,0.9479306598446721,11_g,glaucoma
0.7987938404706543,0.6649931272277491,0.7462957782198366,0.9847909524364613,0.9584049328026699,11_h,sano
0.6690373023846585,0.5026717154307621,0.7099447960434392,0.9638950203548089,0.9434492352176366,12_dr,retinopatia
0.7206771604257771,0.5633270493831164,0.7303317458462306,0.9678534765224216,0.944617581850442,12_g,glaucoma
0.7987347266280028,0.6649111935001035,0.722510502757545,0.9877186109061004,0.9547879196436571,12_h,sano
0.6941945657074161,0.5316217466069084,0.766439366180053,0.9611119469079318,0.9453595184157024,13_dr,retinopatia
0.6938819436301078,0.5312551497516398,0.775631564772282,0.959715481824182,0.9448923996625959,13_g,glaucoma
0.7814949946378309,0.6413555883634237,0.758462065729967,0.9790348296481978,0.9563171685233955,13_h,sano
0.6513594756225208,0.4829748653171924,0.676056135162147,0.9602811747914999,0.9345946135923717,14_dr,retinopatia
0.6771639791357686,0.5119031901575871,0.7243983745602569,0.962135725774381,0.9422630981040309,14_g,glaucoma
0.7472017001962613,0.596426176754324,0.7262671855895616,0.9749129556413335,0.9492203604788013,14_h,sano
0.6191430051051359,0.4483759052488098,0.6772919167329128,0.9571862111092531,0.9355305717410164,15_dr,retinopatia
0.7046413800194589,0.5439739768976438,0.7491841997645239,0.9641983745369959,0.9455614968465078,15_g,glaucoma
0.7732550111399558,0.6303306866233908,0.8077879749548444,0.9712145397746407,0.9560547991020596,15_h,sano
